pkg1 file1 pkg2 file2 pairFreq clusterid expected
gacore idffile.h gacore gafield.h 6 1 true 
gacore gaglobal.h gacore gafield.h 6 1 true 
gacore idffile.h gacore dsf3file.h 6 1 true 
package package_tools_lin.sh package package_tools_mac.sh 6 1 true 
downloadmanager downloadnode.h downloadmanager aria2downloadprocess.h 6 2 true 
gacore gasourceinfo.h gacore gaglobal.h 6 1 true 
gacore idf2readerworker.h gacore localreaderworker.h 5 5 true 
genomebrowser/gbrender generenderer.h genomebrowser/gbrender variantmaprenderer.h 5 3 true 
gacore gareaderresource.h gacore gaglobal.h 5 1 true 
gacore gafeaturereaderworker.h gacore gafeaturereader.h 5 0 true 
downloadmanager aria2rpcaction.h downloadmanager aria2downloadprocess.h 5 2 true 
gacore packeddataschema.h gacore gafield.h 5 1 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender variantmaprenderer.h 5 0 true 
gacore gasourceinfo.h gacore packeddataschema.h 5 1 true 
gacore gasourceinfo.h gacore dsf3file.h 5 1 true 
gacore bamreaderworker.h gacore idf2readerworker.h 4 5 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender sequtil.h 4 11 true 
gacore gasourceinfo.h gacore gasourceregistry.h 4 1 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender valuerenderer.h 4 11 true 
gacore gafeaturereaderworker.h gacore localreaderworker.h 4 5 true 
genomebrowser/gbrender variantrenderer.h genomebrowser/gbrender generenderer.h 4 0 true 
package package_gb_mac.sh package package_tools_mac.sh 4 0 true 
gacore gafeaturereaderworker.h gacore bamreaderworker.h 4 5 true 
gacore gafeaturereader.h gacore localreaderworker.h 4 0 true 
genomebrowser/gbrender generenderer.h genomebrowser/gbrender valuerenderer.h 4 0 true 
package package_tools_win.sh package package_tools_mac.sh 4 1 true 
genomebrowser/gbrender variantmaprenderer.h genomebrowser/gbrender cytobandrenderer.h 4 3 true 
genomebrowser/gbrender variantmaprenderer.h genomebrowser/gbrender pileupdetail.h 4 3 true 
gacore httpreaderworker.h gacore idf2readerworker.h 4 0 true 
genomebrowser/gbrender variantrenderer.h genomebrowser/gbrender coveragerenderer.h 4 8 true 
genomebrowser/gbrender genericrenderer.h genomebrowser/gbrender cytobandrenderer.h 4 3 true 
genomebrowser/gbrender pileupagg.h genomebrowser/gbrender cytobandrenderer.h 4 3 true 
genomebrowser/gbrender variantrenderer.h genomebrowser/gbrender genericrenderer.h 4 0 true 
genomebrowser/gbrender variantmaprenderer.h genomebrowser/gbrender coveragerenderer.h 4 0 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender generenderer.h 4 0 true 
genomebrowser/gbrender pileupagg.h genomebrowser/gbrender variantmaprenderer.h 4 3 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender cytobandrenderer.h 4 0 true 
gacore vcffile.h gacore vcfreaderworker.h 4 1 true 
genomebrowser/gbrender coveragerenderer.h genomebrowser/gbrender valuerenderer.h 4 0 true 
genomebrowser/gbrender generenderer.h genomebrowser/gbrender pileupdetail.h 4 3 true 
genomebrowser/gbrender cytobandrenderer.h genomebrowser/gbrender pileupdetail.h 4 3 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender genericrenderer.h 4 0 true 
package package_gb_lin.sh package package_tools_mac.sh 4 0 true 
gacore gasourceinfo.h gacore tsftablereader.h 4 1 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender variantrenderer.h 4 0 true 
genomebrowser/gbrender variantrenderer.h genomebrowser/gbrender pileupdetail.h 4 0 true 
gacore tsffile.h gacore gafield.h 4 1 true 
genomebrowser/gbrender pileupagg.h genomebrowser/gbrender coveragerenderer.h 4 0 true 
genomebrowser/gbrender variantmaprenderer.h genomebrowser/gbrender genericrenderer.h 4 3 true 
genomebrowser/gbrender generenderer.h genomebrowser/gbrender cytobandrenderer.h 4 3 true 
genomebrowser/gbrender variantmaprenderer.h genomebrowser/gbrender valuerenderer.h 4 0 true 
genomebrowser/gbrender variantrenderer.h genomebrowser/gbrender valuerenderer.h 4 0 true 
genomebrowser/gbrender variantrenderer.h genomebrowser/gbrender pileupagg.h 4 0 true 
package package_gb_mac.sh package package_gb_lin.sh 4 0 true 
genomebrowser/gbrender scene.h genomebrowser/gbrender variantmaprenderer.h 4 3 true 
downloadmanager aria2rpcaction.h downloadmanager downloadnode.h 4 2 true 
genomebrowser/gbrender coveragerenderer.h genomebrowser/gbrender pileupdetail.h 4 0 true 
genomebrowser/gbrender valuerenderer.h genomebrowser/gbrender pileupdetail.h 4 0 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender coveragerenderer.h 4 0 true 
gacore gafeaturereader.h gacore bamreaderworker.h 4 0 true 
gacore gafeaturereaderworker.h gacore idf2readerworker.h 4 5 true 
gacore gafeaturereader.h gacore idf2readerworker.h 4 0 true 
genomebrowser/gbrender generenderer.h genomebrowser/gbrender coveragerenderer.h 4 0 true 
genomebrowser/gbrender variantrenderer.h genomebrowser/gbrender cytobandrenderer.h 4 0 true 
genomebrowser/gbrender pileupagg.h genomebrowser/gbrender valuerenderer.h 4 0 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender pileupdetail.h 4 0 true 
genomebrowser/gbrender coveragerenderer.h genomebrowser/gbrender cytobandrenderer.h 4 0 true 
gacore dsf3file.h gacore gafield.h 4 1 true 
genomebrowser/gbrender genericrenderer.h genomebrowser/gbrender valuerenderer.h 4 0 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender pileupagg.h 4 0 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender variantmaprenderer.h 4 0 true 
genomebrowser/gbrender genericrenderer.h genomebrowser/gbrender pileupdetail.h 4 3 true 
genomebrowser/gbrender variantrenderer.h genomebrowser/gbrender variantmaprenderer.h 4 0 true 
genomebrowser/gbrender pileupagg.h genomebrowser/gbrender genericrenderer.h 4 3 true 
genomebrowser/gbrender pileupagg.h genomebrowser/gbrender generenderer.h 4 3 true 
gacore gafeaturereader.h gacore gaglobal.h 4 1 true 
gacore bamreaderworker.h gacore localreaderworker.h 4 5 true 
genomebrowser/gbrender valuerenderer.h genomebrowser/gbrender cytobandrenderer.h 4 0 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender valuerenderer.h 4 0 true 
package package_tools_lin.sh package package_gb_mac.sh 4 0 true 
package package_tools_lin.sh package package_gb_lin.sh 4 0 true 
genomebrowser/gbrender generenderer.h genomebrowser/gbrender genericrenderer.h 4 3 true 
package package_tools_lin.sh package package_tools_win.sh 4 1 true 
gacore vcffile.h gacore gafeaturereaderworker.h 3 0 true 
gacore idffile.h gacore gaglobal.h 3 1 true 
gacore dsf3file.h gacore gaglobal.h 3 1 true 
genomebrowser/gbrender variantmaprenderer.h genomebrowser/gbrender sequtil.h 3 0 true 
gacore gareaderresource.h gacore gafield.h 3 1 true 
gacore tsffile.h gacore gaglobal.h 3 1 true 
gacore tsfreaderworker.h gacore tsftablereader.h 3 0 true 
genomebrowser/gbrender genericrenderer.h genomebrowser/gbrender sequtil.h 3 0 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender pileupdetail.h 3 0 true 
gacore gareaderresource.h gacore gafeaturereader.h 3 1 true 
genomebrowser/gbrender pileupagg.h genomebrowser/gbrender sequtil.h 3 0 true 
genomebrowser gbscaleengine.h genomebrowser gbplotrenderer.h 3 3 true 
gacore tsffile.h gacore dsf3file.h 3 1 true 
package package_gb_win.sh package package_tools_win.sh 3 1 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender generenderer.h 3 0 true 
gacore vcffile.h gacore garesource.h 3 1 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender coveragerenderer.h 3 0 true 
gacore gafeaturefilter.h gacore gafeaturereader.h 3 1 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender sequtil.h 3 0 true 
gacore idf2readerworker.h gacore gareaderresource.h 3 0 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender worker.h 3 1 true 
gacore gaglobal.h gacore localreaderworker.h 3 0 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender variantrenderer.h 3 0 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender genericrenderer.h 3 0 true 
gacore idf2readerworker.h gacore gafield.h 3 0 true 
3rdparty/tabix tabix.h 3rdparty/tabix bgzf.h 3 1 true 
gacore tsftablereader.h gacore httpreaderworker.h 3 1 true 
gacore idffile.h gacore packeddataschema.h 3 1 true 
gacore gafeaturefilter.h gacore gareaderresource.h 3 1 true 
gacore tsftablereader.h gacore gafeaturereader.h 3 1 true 
gacore gafeaturereader.h gacore tsfreaderworker.h 3 0 true 
gacore httpreaderworker.h gacore localreaderworker.h 3 0 true 
gacore gafeaturereaderworker.h gacore gaglobal.h 3 0 true 
gacore gasourceinfo.h gacore idf2readerworker.h 3 0 true 
gacore gasourceinfo.h gacore httpreaderworker.h 3 1 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender pileupagg.h 3 0 true 
gacore tsftablereader.h gacore gafield.h 3 1 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender config.h 3 0 true 
gacore vcffile.h gacore gafeaturereader.h 3 1 true 
genomebrowser/gbrender coveragerenderer.h genomebrowser/gbrender sequtil.h 3 0 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender variantmaprenderer.h 3 0 true 
gacore gafeaturefilter.h gacore idf2readerworker.h 3 0 true 
3rdparty/tabix tabix.h 3rdparty/tabix kstring.h 3 1 true 
gacore gasourceinfo.h gacore gareaderresource.h 3 1 true 
genomebrowser/gbrender variantrenderer.h genomebrowser/gbrender sequtil.h 3 0 true 
gacore idf2readerworker.h gacore tsfreaderworker.h 3 5 true 
gacore httpreaderworker.h gacore gafield.h 3 1 true 
gacore gafeaturereader.h gacore gafield.h 3 1 true 
genomebrowser/gbrender sequtil.h genomebrowser/gbrender pileupdetail.h 3 0 true 
gacore gafeaturefilter.h gacore gaglobal.h 3 1 true 
genomebrowser/gbrender sequtil.h genomebrowser/gbrender cytobandrenderer.h 3 0 true 
gacore gafield.h gacore vcffile.h 3 1 true 
gacore gareaderresource.h gacore localreaderworker.h 3 0 true 
gacore packeddata.h gacore gafield.h 3 1 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender seqrenderer.h 3 0 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender scene.h 3 0 true 
genomebrowser/gbrender valuerenderer.h genomebrowser/gbrender sequtil.h 3 11 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender cytobandrenderer.h 3 0 true 
gacore bamreaderworker.h gacore vcffile.h 3 0 true 
gacore idf2readerworker.h gacore gaglobal.h 3 0 true 
genomebrowser/gbrender generenderer.h genomebrowser/gbrender sequtil.h 3 0 true 
gacore tsftablereader.h gacore gaglobal.h 3 1 true 
gacore gafeaturereader.h gacore httpreaderworker.h 3 1 true 
gacore tsffile.h gacore idffile.h 3 1 true 
gacore idffile.h gacore precomputerunner.h 2 1 true 
genomebrowser/gbrender scene.h genomebrowser/gbrender generenderer.h 2 3 true 
gacore tsffile.h gacore gafeaturereader.h 2 1 true 
gacore httpreaderworker.h gacore gaglobal.h 2 1 true 
gacore bamreaderworker.h gacore precomputerunner.h 2 0 true 
genomebrowser/gbrender config.h genomebrowser/gbrender generenderer.h 2 3 true 
gacore packeddata.h gacore httpreaderworker.h 2 1 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender worker.h 2 0 true 
genomebrowser/gbrender config.h genomebrowser/gbrender coveragerenderer.h 2 0 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender sequtil.h 2 0 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender variantrenderer.h 2 0 true 
gacore vcfreaderworker.h gacore garesource.h 2 1 true 
genomebrowser/gbrender scene.h genomebrowser/gbrender pileupagg.h 2 3 true 
gacore bamreaderworker.h gacore asyncworker.h 2 5 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender config.h 2 0 true 
genomebrowser/gbrender scene.h genomebrowser/gbrender config.h 2 3 true 
genomebrowser/gbrender scene.h genomebrowser/gbrender valuerenderer.h 2 0 true 
gacore gasourceinfo.h gacore bamreaderworker.h 2 0 true 
gacore gafeature.h gacore gasourceinfo.h 2 1 true 
genomebrowser/gbrender variantrenderer.h genomebrowser/gbrender scene.h 2 0 true 
genomebrowser gbnodeoptionsstate.h genomebrowser gbplotrenderer.h 2 0 true 
gacore packeddata.h gacore packeddataschema.h 2 1 true 
gacore idf2readerworker.h gacore packeddataschema.h 2 0 true 
gacore vcffile.h gacore precomputerunner.h 2 1 true 
gacore tsffile.h gacore tsftablereader.h 2 1 true 
ghicore dsfdataset.h ghicore pvariant.h 2 1 true 
gacore gafeaturefilter.h gacore gafeaturereaderworker.h 2 0 true 
gacore idffile.h gacore httpreaderworker.h 2 1 true 
genomebrowser gbscaleengine.h genomebrowser gbplot.h 2 0 true 
gacore bamreaderworker.h gacore tsftablereader.h 2 0 true 
gacore garesource.h gacore gafield.h 2 1 true 
genomebrowser/gbrender scene.h genomebrowser/gbrender cytobandrenderer.h 2 3 true 
3rdparty/tabix bgzf.h 3rdparty/tabix kstring.h 2 1 true 
genomebrowser/gbrender util.h genomebrowser/gbrender variantmaprenderer.h 2 0 true 
gacore packeddata.h gacore gasourceinfo.h 2 1 true 
gacore gafeaturefilter.h gacore bamreaderworker.h 2 0 true 
gacore tsffile.h gacore gasourceinfo.h 2 1 true 
genomebrowser/gbrender scene.h genomebrowser/gbrender genericrenderer.h 2 3 true 
gacore tsfreaderworker.h gacore gafield.h 2 0 true 
gacore gafeaturereaderworker.h gacore gareaderresource.h 2 0 true 
gacore gasourceregistry.h gacore bamfile.h 2 1 true 
genomebrowser/gbrender config.h genomebrowser/gbrender variantrenderer.h 2 0 true 
genomebrowser/gbrender config.h genomebrowser/gbrender cytobandrenderer.h 2 3 true 
gacore vcffile.h gacore tsfreaderworker.h 2 0 true 
3rdparty/tabix bgzf.h 3rdparty/tabix bam_endian.h 2 1 true 
gacore gasourceinfo.h gacore vcffile.h 2 1 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender pileupagg.h 2 0 true 
gacore gafeaturereaderworker.h gacore vcfreaderworker.h 2 0 true 
gacore bamreaderworker.h gacore tsfreaderworker.h 2 5 true 
gacore vcfreaderworker.h gacore tsfreaderworker.h 2 0 true 
gacore idffile.h gacore packeddata.h 2 1 true 
package package_tools_win.sh package package_gb_lin.sh 2 0 true 
gacore gasourceregistry.h gacore precomputerunner.h 2 1 true 
gacore vcffile.h gacore localreaderworker.h 2 0 true 
gacore gasourceregistry.h gacore asyncworker.h 2 0 true 
genomebrowser/gbrender variantmaprenderer.h genomebrowser/gbrender prerenderedscene.h 2 3 true 
gacore gasourceinfo.h gacore asyncworker.h 2 0 true 
gacore gareaderresource.h gacore httpreaderworker.h 2 1 true 
genomebrowser/gbrender config.h genomebrowser/gbrender sequtil.h 2 0 true 
gacore asyncworker.h gacore bamfile.h 2 0 true 
gacore garesource.h gacore gasourceinfo.h 2 1 true 
package package_tools_lin.sh package package_gb_win.sh 2 1 true 
gacore idffile.h gacore asyncworker.h 2 0 true 
gacore gareaderresource.h gacore tsftablereader.h 2 1 true 
package package_tools_win.sh package package_gb_mac.sh 2 0 true 
gacore gafeaturefilter.h gacore localreaderworker.h 2 0 true 
gacore idffile.h gacore gafeaturereader.h 2 1 true 
genomebrowser gbscaleengine.h genomebrowser gbplotcanvas.h 2 0 true 
genomebrowser/gbrender config.h genomebrowser/gbrender pileupagg.h 2 3 true 
gacore gafeaturereaderworker.h gacore httpreaderworker.h 2 0 true 
gacore bamreaderworker.h gacore bamfile.h 2 0 true 
gacore gasourceinfo.h gacore bamfile.h 2 1 true 
gacore dsf3file.h gacore bamfile.h 2 1 true 
gacore bamreaderworker.h gacore gareaderresource.h 2 0 true 
gacore idffile.h gacore gasourceregistry.h 2 1 true 
genomebrowser/gbrender scene.h genomebrowser/gbrender sequtil.h 2 0 true 
gacore dsf3file.h gacore precomputerunner.h 2 1 true 
gacore gafeature.h gacore bamfile.h 2 1 true 
gacore httpreaderworker.h gacore bamreaderworker.h 2 0 true 
gacore gasourceinfo.h gacore precomputerunner.h 2 1 true 
gacore asyncworker.h gacore precomputerunner.h 2 0 true 
gacore gafeaturereaderworker.h gacore tsftablereader.h 2 0 true 
genomebrowser/gbrender config.h genomebrowser/gbrender pileupdetail.h 2 3 true 
package package_gb_win.sh package package_tools_mac.sh 2 1 true 
gacore dsf3file.h gacore asyncworker.h 2 0 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender genericrenderer.h 2 0 true 
gacore gafeaturereaderworker.h gacore tsfreaderworker.h 2 5 true 
genomebrowser gbdownloadwindow.h genomebrowser gbactionmanager.h 2 2 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender pileupdetail.h 2 0 true 
gacore gafeaturefilter.h gacore gasourceinfo.h 2 1 true 
genomebrowser/gbrender variantmaprenderer.h genomebrowser/gbrender coverhistogram.h 2 3 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender coveragerenderer.h 2 0 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender generenderer.h 2 0 true 
gacore dsf3file.h gacore tsftablereader.h 2 1 true 
svs markerstatswindow.h svs appversion.h 2 0 true 
gacore vcffile.h gacore idf2readerworker.h 2 0 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender config.h 2 0 true 
gacore gasourceregistry.h gacore gafield.h 2 1 true 
genomebrowser gbplotrenderer.h genomebrowser gbplotcanvas.h 2 0 true 
gacore precomputerunner.h gacore bamfile.h 2 1 true 
gacore bamreaderworker.h gacore gasourceregistry.h 2 0 true 
gacore vcfreaderworker.h gacore idf2readerworker.h 2 0 true 
gacore gafeaturereader.h gacore vcfreaderworker.h 2 1 true 
gacore tsftablereader.h gacore localreaderworker.h 2 0 true 
gacore dsf3file.h gacore gasourceregistry.h 2 1 true 
gacore gafeaturefilter.h gacore gafield.h 2 1 true 
gacore idf2readerworker.h gacore tsftablereader.h 2 0 true 
package package_gb_win.sh package package_gb_mac.sh 2 0 true 
gacore gafeature.h gacore idffile.h 2 1 true 
gacore vcffile.h gacore httpreaderworker.h 2 1 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender valuerenderer.h 2 0 true 
genomebrowser/gbrender config.h genomebrowser/gbrender valuerenderer.h 2 0 true 
gacore dsf3file.h gacore gafeaturereader.h 2 1 true 
gacore httpreaderworker.h gacore tsfreaderworker.h 2 0 true 
gacore idffile.h gacore bamfile.h 2 1 true 
gacore httpreaderworker.h gacore vcfreaderworker.h 2 1 true 
gacore vcfreaderworker.h gacore localreaderworker.h 2 0 true 
gacore vcfreaderworker.h gacore tsftablereader.h 2 1 true 
genomebrowser gbnodeoptionsstate.h genomebrowser gbplot.h 2 0 true 
gacore tsfreaderworker.h gacore localreaderworker.h 2 5 true 
package package_gb_win.sh package package_gb_lin.sh 2 0 true 
gacore idffile.h gacore bamreaderworker.h 2 0 true 
gacore dsf3file.h gacore bamreaderworker.h 2 0 true 
gacore bamreaderworker.h gacore vcfreaderworker.h 2 0 true 
gacore bamreaderworker.h gacore gaglobal.h 2 0 true 
gacore vcffile.h gacore tsftablereader.h 2 1 true 
genomebrowser/gbrender scene.h genomebrowser/gbrender coveragerenderer.h 2 0 true 
gacore idffile.h gacore tsftablereader.h 2 1 true 
genomebrowser gbplot.h genomebrowser gbplotrenderer.h 2 0 true 
genomebrowser/gbrender scene.h genomebrowser/gbrender pileupdetail.h 2 3 true 
3rdparty/tabix tabix.h 3rdparty/tabix bam_endian.h 2 1 true 
genomebrowser/gbrender config.h genomebrowser/gbrender genericrenderer.h 2 3 true 
genomebrowser gbnodeoptionsstate.h genomebrowser gbscaleengine.h 2 0 true 
gacore gasourceinfo.h gacore gafeaturereader.h 2 1 true 
genomebrowser gbplot.h genomebrowser gbplotcanvas.h 2 7 true 
genomebrowser gbnodeoptionsstate.h genomebrowser gbplotcanvas.h 2 0 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender cytobandrenderer.h 2 0 true 
gacore gasourceregistry.h gacore idf2readerworker.h 1 0 true 
gacore packeddataschema.h gacore gaglobal.h 1 1 true 
gacore dsf3file.h gacore gafeaturefilter.h 1 1 true 
genomebrowser/gbrender genericrenderer.h genomebrowser/gbrender cache.h 1 3 true 
genomebrowser gbscale.h genomebrowser gbscaleengine.h 1 3 true 
genomebrowser/gbrender alignmentrenderparams.h genomebrowser/gbrender chunk.h 1 1 true 
3rdparty/tabix ksort.h 3rdparty/tabix bgzf.h 1 1 true 
gacore vcffile.h gacore packeddataschema.h 1 1 true 
3rdparty/tabix bedidx.h 3rdparty/tabix tabix.h 1 1 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender coverhistogram.h 1 0 true 
gacore dsf3file.h gacore packeddata.h 1 1 true 
gacore gafieldreader.h gacore gaglobal.h 1 1 true 
genomebrowser/gbrender pileuprenderer.h genomebrowser/gbrender pileupdetail.h 1 3 true 
genomebrowser/gbrender alignmentrenderparams.h genomebrowser/gbrender generenderer.h 1 0 true 
genomebrowser/gbrender label.h genomebrowser/gbrender scene.h 1 3 true 
gacore gareaderresource.h gacore garesource.h 1 1 true 
gacore dsf3file.h gacore packeddataschema.h 1 1 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender scene.h 1 0 true 
genomebrowser/gbrender generenderer.h genomebrowser/gbrender pileuprenderer.h 1 3 true 
genomebrowser/gbrender alignmentrenderparams.h genomebrowser/gbrender variantrenderer.h 1 0 true 
genomebrowser/gbrender label.h genomebrowser/gbrender intensityrenderer.h 1 3 true 
genomebrowser/gbrender coverhistogram.h genomebrowser/gbrender valuerenderer.h 1 0 true 
genomebrowser/gbrender alignmentrenderparams.h genomebrowser/gbrender sequtil.h 1 0 true 
3rdparty/tabix ksort.h 3rdparty/tabix knetfile.h 1 1 true 
genomebrowser/gbrender scene.h genomebrowser/gbrender rendererbase.h 1 3 true 
genomebrowser/gbrender util.h genomebrowser/gbrender chunk.h 1 0 true 
gacore gafeaturefilter.h gacore packeddata.h 1 1 true 
gacore dsf3file.h gacore garesource.h 1 1 true 
