pkg1 file1 pkg2 file2 pairFreq clusterid expected
genomebrowser/gbrender bamutil.h gacore gaproxydispatch.h 2 1 false 
gacore dispatch.h genomebrowser/gbrender featuregenerator.h 2 1 false 
package package_svs_win.sh pbat fammanager.h 2 0 false 
gacore gafeaturereaderworker.h genomebrowser gbplotrenderer.h 2 1 false 
genomebrowser gbrootstate.h gacore gaproxydispatch.h 2 1 false 
genomebrowser/gbrender generenderer.h genomebrowser gbplotrenderer.h 2 1 false 
genomebrowser gbplotgroup.h genomebrowser/gbrender worker.h 2 1 false 
gacore gaproxydispatch.h genomebrowser/gbrender coveragerenderer.h 2 1 false 
gacore gafeature.h genomebrowser/tests gbtests.h 2 1 false 
gacore gaproxydispatch.h genomebrowser gbplotgroup.h 2 1 false 
genomebrowser gbview.h genomebrowser/gbrender config.h 2 1 false 
genomebrowser/gbrender chunk.h genomebrowser/tests gbtests.h 2 1 false 
genomebrowser/gbrender sequtil.h gacore packeddataschema.h 2 3 false 
gacore request.h genomebrowser/gbrender featuregenerator.h 2 1 false 
ghicore pvariant.h genomebrowser/tests asynctest.h 2 1 false 
genomebrowser gbplotsizer.h genomebrowser/gbrender worker.h 1 1 false 
genomebrowser/gbrender worker.h genomebrowser gbcommonvalueaccessor.h 1 1 false 
gacore asyncworker.h genomebrowser gbplot.h 1 1 false 
gacore bambincache.h goldenupdate updatemanager.h 1 5 false 
genomebrowser/gbrender seqrenderer.h genomebrowser gbselectionmanager.h 1 3 false 
genomebrowser/gbrender seqrenderer.h ghicore gclassbase.h 1 3 false 
ghicore pvariant.h genomebrowser/gbrender featuregenerator.h 1 1 false 
na make_mac.sh goldenupdate serverconnection.h 1 6 false 
genomebrowser gbplotgroupstate.h ghicore sortutil.h 1 7 false 
gacore gafeaturecache.h genomebrowser gbdata.h 1 1 false 
genomebrowser gblandmarkview.h ghicore sortutil.h 1 7 false 
svs genotypestatswindow.h genomebrowser gbscale.h 1 8 false 
svs genotypestatswindow.h genomebrowser gbcontroltree.h 1 0 false 
genomebrowser gblandmarkview.h svs gmainwindow.h 1 7 false 
gacore bambincache.h genomebrowser/gbrender coveragerenderer.h 1 0 false 
genomebrowser gbselectionmanager.h genomebrowser/gbrender coveragerenderer.h 1 0 false 
genomebrowser gbinputhandler.h gacore gaproxydispatch.h 1 1 false 
goldenupdate proxysettingswindow.h svs apidatasetbuilder.h 1 9 false 
svs appversion.h goldenupdate common.h 1 10 false 
genomebrowser gbplotgroup.h genomebrowser gbplotview.h 23 1 true 
genomebrowser gbplotgroup.h genomebrowser gbplot.h 19 1 true 
genomebrowser/gbrender generenderer.h genomebrowser/gbrender config.h 18 1 true 
genomebrowser/gbrender config.h genomebrowser/gbrender pileuprenderer.h 17 1 true 
genomebrowser/gbrender config.h genomebrowser/gbrender chunk.h 17 1 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender config.h 17 1 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender coveragerenderer.h 17 0 true 
genomebrowser gbplot.h genomebrowser gbplotview.h 16 1 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender config.h 16 0 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender seqrenderer.h 16 0 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender generenderer.h 16 1 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender coveragerenderer.h 15 1 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender pileuprenderer.h 15 1 true 
genomebrowser/gbrender config.h genomebrowser/gbrender coveragerenderer.h 14 1 true 
genomebrowser/gbrender coveragerenderer.h genomebrowser/gbrender pileuprenderer.h 14 1 true 
genomebrowser/gbrender generenderer.h genomebrowser/gbrender pileuprenderer.h 14 1 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender pileuprenderer.h 13 0 true 
genomebrowser/gbrender generenderer.h genomebrowser/gbrender coveragerenderer.h 13 1 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender generenderer.h 13 0 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender chunk.h 12 1 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender chunk.h 11 0 true 
genomebrowser/gbrender bamutil.h genomebrowser/gbrender config.h 11 1 true 
genomebrowser gbrootstate.h genomebrowser gbview.h 11 1 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender generenderer.h 11 1 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender pileuprenderer.h 10 1 true 
genomebrowser gbplotstate.h genomebrowser gbplotgroup.h 10 1 true 
genomebrowser gbrootstate.h genomebrowser gbplot.h 10 1 true 
genomebrowser gbplot.h genomebrowser gbplotrenderer.h 9 1 true 
genomebrowser gbmainwindow.h genomebrowser gbplotgroup.h 9 0 true 
genomebrowser gbplotstate.h genomebrowser gbplot.h 9 1 true 
genomebrowser/gbrender config.h genomebrowser/gbrender pileupdetail.h 9 1 true 
genomebrowser gbmainwindow.h genomebrowser gbplotview.h 9 0 true 
genomebrowser gbplotstate.h genomebrowser gbplotview.h 9 1 true 
genomebrowser/gbrender rendererbase.h genomebrowser/gbrender worker.h 8 1 true 
genomebrowser/gbrender pileupdetail.h genomebrowser/gbrender pileuprenderer.h 8 1 true 
genomebrowser/gbrender rendererbase.h genomebrowser/gbrender generenderer.h 8 1 true 
genomebrowser gbplot.h genomebrowser gbview.h 8 1 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender rendererbase.h 8 0 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender coveragerenderer.h 8 1 true 
genomebrowser/gbrender bamutil.h genomebrowser/gbrender pileuprenderer.h 8 1 true 
genomebrowser/gbrender bamutil.h genomebrowser/gbrender coveragerenderer.h 8 1 true 
genomebrowser gbplotgroup.h genomebrowser gbview.h 7 1 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender coverhistogram.h 7 1 true 
genomebrowser gbcontroltree.h genomebrowser gbplotview.h 7 1 true 
genomebrowser/gbrender cytobandrenderer.h genomebrowser/gbrender generenderer.h 7 0 true 
genomebrowser gbplot.h genomebrowser gbdata.h 7 1 true 
genomebrowser/gbrender cytobandrenderer.h genomebrowser/gbrender config.h 7 0 true 
genomebrowser gbrootstate.h genomebrowser gbplotview.h 7 1 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender pileupdetail.h 7 1 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender request.h 7 3 true 
genomebrowser/gbrender stackengine.h genomebrowser/gbrender config.h 7 1 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender bamutil.h 7 0 true 
genomebrowser gbplotgroup.h genomebrowser gbcontroltree.h 7 1 true 
genomebrowser/gbrender rendererbase.h genomebrowser/gbrender coveragerenderer.h 7 1 true 
genomebrowser/gbrender config.h genomebrowser/gbrender coverhistogram.h 7 1 true 
genomebrowser gbview.h genomebrowser gbplotview.h 7 1 true 
genomebrowser gbrootstate.h genomebrowser gbplotgroup.h 7 1 true 
genomebrowser gbplot.h genomebrowser gbcontroltree.h 7 1 true 
genomebrowser gbdata.h genomebrowser gbplotview.h 6 1 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender cytobandrenderer.h 6 3 true 
genomebrowser gbview.h genomebrowser gbplotrenderer.h 6 1 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender cytobandrenderer.h 6 0 true 
genomebrowser gbplotsizer.h genomebrowser gbinputhandler.h 6 1 true 
genomebrowser gbrootstate.h genomebrowser gbplotstate.h 6 1 true 
genomebrowser/gbrender rendererbase.h genomebrowser/gbrender config.h 6 1 true 
genomebrowser gbplotgroup.h genomebrowser gbplotrenderer.h 6 1 true 
genomebrowser/gbrender rendererbase.h genomebrowser/gbrender pileuprenderer.h 6 1 true 
genomebrowser/gbrender coveragerenderer.h genomebrowser/gbrender coverhistogram.h 6 1 true 
gacore gafeaturereaderworker.h gacore gafeaturereader.h 6 1 true 
genomebrowser gbrootstate.h genomebrowser gbplotrenderer.h 6 1 true 
genomebrowser/gbrender stackengine.h genomebrowser/gbrender pileuprenderer.h 6 1 true 
genomebrowser gbplotsizer.h genomebrowser gbplotgroup.h 6 1 true 
genomebrowser/gbrender generenderer.h genomebrowser/gbrender pileupdetail.h 6 1 true 
genomebrowser/gbrender stackengine.h genomebrowser/gbrender pileupdetail.h 6 1 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender pileupagg.h 6 1 true 
genomebrowser gbmainwindow.h genomebrowser gbplot.h 6 0 true 
genomebrowser/gbrender bamutil.h genomebrowser/gbrender worker.h 6 1 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender dispatch.h 6 3 true 
genomebrowser/gbrender config.h genomebrowser/gbrender pileupagg.h 6 1 true 
genomebrowser gbplotview.h genomebrowser gbplotrenderer.h 6 1 true 
genomebrowser gbplotgroup.h genomebrowser gbdata.h 6 1 true 
genomebrowser/gbrender bamutil.h genomebrowser/gbrender generenderer.h 6 1 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender pileupdetail.h 5 1 true 
genomebrowser gbplotsizer.h genomebrowser gbplot.h 5 1 true 
genomebrowser gbrootstate.h genomebrowser gbmainwindow.h 5 0 true 
genomebrowser/gbrender request.h genomebrowser/gbrender featuregenerator.h 5 0 true 
gacore gafeaturereader.h gacore idf2readerworker.h 5 1 true 
genomebrowser/gbrender util.h genomebrowser/gbrender worker.h 5 1 true 
genomebrowser/gbrender util.h genomebrowser/gbrender coveragerenderer.h 5 1 true 
genomebrowser gbplotview.h genomebrowser gbinputhandler.h 5 1 true 
genomebrowser/gbrender coveragerenderer.h genomebrowser/gbrender cytobandrenderer.h 5 0 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender cytobandrenderer.h 5 0 true 
genomebrowser/gbrender pileupagg.h genomebrowser/gbrender pileuprenderer.h 5 1 true 
genomebrowser gbplotview.h genomebrowser gbplotsizer.h 5 1 true 
genomebrowser gbmainwindow.h genomebrowser gbview.h 5 0 true 
genomebrowser gblandmarkview.h genomebrowser gbplot.h 5 0 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender util.h 5 0 true 
genomebrowser/gbrender pileupdetail.h genomebrowser/gbrender coveragerenderer.h 5 1 true 
genomebrowser/gbrender pileuprenderer.h genomebrowser/gbrender cytobandrenderer.h 5 0 true 
genomebrowser/gbrender util.h genomebrowser/gbrender config.h 5 1 true 
genomebrowser gbplotview.h genomebrowser gbplotmover.h 5 1 true 
genomebrowser gbinputhandler.h genomebrowser gbplotgroup.h 5 1 true 
genomebrowser/gbrender scene.h genomebrowser/gbrender seqrenderer.h 4 3 true 
genomebrowser gblandmarkview.h genomebrowser gbdata.h 4 0 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender pileupagg.h 4 1 true 
genomebrowser/gbrender scene.h genomebrowser/gbrender worker.h 4 0 true 
genomebrowser gbview.h genomebrowser gbdata.h 4 1 true 
genomebrowser/gbrender transcript.h genomebrowser/gbrender generenderer.h 4 1 true 
genomebrowser gbinputhandler.h genomebrowser gbplot.h 4 1 true 
genomebrowser gbdata.h genomebrowser gbplotrenderer.h 4 1 true 
genomebrowser gbmainwindow.h genomebrowser gbplotsizer.h 4 0 true 
genomebrowser gbzoommanager.h genomebrowser gbplot.h 4 1 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender rendererbase.h 4 1 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender coverhistogram.h 4 1 true 
genomebrowser/gbrender bamutil.h genomebrowser/gbrender sequtil.h 4 0 true 
genomebrowser gblandmarkview.h genomebrowser gbplotview.h 4 0 true 
genomebrowser gbrootstate.h genomebrowser gbdata.h 4 1 true 
genomebrowser gbplotmover.h genomebrowser gbplotsizer.h 4 1 true 
genomebrowser gbmainwindow.h genomebrowser gbinputhandler.h 4 0 true 
genomebrowser gbmainwindow.h genomebrowser gbplotstate.h 4 0 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender bamutil.h 4 1 true 
genomebrowser/gbrender pileuprenderer.h genomebrowser/gbrender coverhistogram.h 4 1 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender pileupdetail.h 4 0 true 
genomebrowser/gbrender bamutil.h genomebrowser/gbrender util.h 4 1 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender sequtil.h 4 3 true 
genomebrowser/gbrender pileupagg.h genomebrowser/gbrender coverhistogram.h 4 1 true 
genomebrowser/gbrender sequtil.h genomebrowser/gbrender coveragerenderer.h 4 0 true 
genomebrowser gblandmarkview.h genomebrowser gbplotgroup.h 4 0 true 
genomebrowser gbplotmover.h genomebrowser gbplot.h 4 1 true 
genomebrowser gblandmarkview.h genomebrowser gbcontroltree.h 4 0 true 
genomebrowser/gbrender pileupagg.h genomebrowser/gbrender generenderer.h 4 1 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender coverhistogram.h 4 0 true 
genomebrowser/gbrender config.h genomebrowser/gbrender dispatch.h 4 0 true 
genomebrowser gbdatanodeiterator.h genomebrowser gbcommonvalueaccessor.h 4 1 true 
genomebrowser gbcommonvalueaccessor.h genomebrowser gbplot.h 4 1 true 
genomebrowser/gbrender request.h genomebrowser/gbrender config.h 4 0 true 
genomebrowser gbplot.h genomebrowser gbstate.h 4 1 true 
genomebrowser gbdata.h genomebrowser gbcontroltree.h 4 1 true 
genomebrowser/gbrender transcript.h genomebrowser/gbrender config.h 4 1 true 
genomebrowser/gbrender stackengine.h genomebrowser/gbrender bamutil.h 4 1 true 
genomebrowser gbplotmover.h genomebrowser gbplotgroup.h 4 1 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender dispatch.h 4 0 true 
genomebrowser gbdatanodeiterator.h genomebrowser gbplot.h 4 1 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender stackengine.h 4 1 true 
gacore gaproxydispatch.h gacore gaproxyreader.h 4 1 true 
genomebrowser/gbrender pileupagg.h genomebrowser/gbrender cytobandrenderer.h 4 0 true 
genomebrowser/gbrender scene.h genomebrowser/gbrender coveragerenderer.h 4 0 true 
genomebrowser/gbrender util.h genomebrowser/gbrender pileuprenderer.h 4 1 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender request.h 4 0 true 
gacore gafeaturereader.h gacore asyncworker.h 4 1 true 
genomebrowser gbdatanodeiterator.h genomebrowser gbplotgroup.h 3 1 true 
genomebrowser/gbrender pileupagg.h genomebrowser/gbrender coveragerenderer.h 3 1 true 
gacore gaproxydispatch.h gacore gafeaturereader.h 3 1 true 
genomebrowser/gbrender chunk.h genomebrowser/gbrender sequtil.h 3 0 true 
genomebrowser gbplotgroup.h genomebrowser gbnodecontrolset.h 3 1 true 
genomebrowser gbzoommanager.h genomebrowser gbcontroltree.h 3 1 true 
genomebrowser gbscalestate.h genomebrowser gbscale.h 3 8 true 
genomebrowser gbinputhandler.h genomebrowser gbview.h 3 1 true 
gacore gaproxydispatch.h gacore idf2readerworker.h 3 1 true 
genomebrowser/gbrender util.h genomebrowser/gbrender chunk.h 3 1 true 
genomebrowser gbmainwindow.h genomebrowser gbdata.h 3 0 true 
genomebrowser gbdatanodeiterator.h genomebrowser gbtextedit.h 3 1 true 
genomebrowser/gbrender bamutil.h genomebrowser/gbrender rendererbase.h 3 1 true 
genomebrowser gbplotsizer.h genomebrowser gbgrip.h 3 1 true 
genomebrowser/gbrender config.h genomebrowser/gbrender variantrenderer.h 3 1 true 
genomebrowser/gbrender generenderer.h genomebrowser/gbrender coverhistogram.h 3 1 true 
genomebrowser/gbrender config.h genomebrowser/gbrender sequtil.h 3 0 true 
genomebrowser/tests gbtests.h genomebrowser/tests asynctest.h 3 1 true 
genomebrowser gbplotstate.h genomebrowser gbcontroltree.h 3 1 true 
genomebrowser/gbrender generenderer.h genomebrowser/gbrender stackengine.h 3 1 true 
genomebrowser gbplotsizer.h genomebrowser gbplotzoomer.h 3 1 true 
genomebrowser gbplotstate.h genomebrowser gbzoommanager.h 3 1 true 
genomebrowser gbplotmover.h genomebrowser gbinputhandler.h 3 1 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender pileupagg.h 3 0 true 
genomebrowser/gbrender pileuprenderer.h genomebrowser/gbrender variantrenderer.h 3 1 true 
genomebrowser gbzoommanager.h genomebrowser gbplotgroup.h 3 1 true 
genomebrowser gbrootstate.h genomebrowser gbinputhandler.h 3 1 true 
gacore gaproxydispatch.h gacore gafeaturereaderworker.h 3 1 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender variantrenderer.h 3 1 true 
genomebrowser/gbrender generenderer.h genomebrowser/gbrender dispatch.h 3 0 true 
genomebrowser gbcommonvalueaccessor.h genomebrowser gbplotgroup.h 3 1 true 
genomebrowser gbplotsizer.h genomebrowser gbview.h 3 1 true 
genomebrowser/gbrender dispatch.h genomebrowser/gbrender featuregenerator.h 3 0 true 
genomebrowser/gbrender request.h genomebrowser/gbrender generenderer.h 3 0 true 
genomebrowser gbinputhandler.h genomebrowser gbplotzoomer.h 3 1 true 
gacore idffile.h gacore bamfile.h 3 1 true 
genomebrowser/gbrender sequtil.h genomebrowser/gbrender pileuprenderer.h 3 0 true 
gacore gafeaturereaderworker.h gacore idf2readerworker.h 3 1 true 
genomebrowser/gbrender scene.h genomebrowser/gbrender generenderer.h 3 0 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender variantrenderer.h 3 0 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender sequtil.h 3 0 true 
genomebrowser/gbrender generenderer.h genomebrowser/gbrender variantrenderer.h 3 1 true 
genomebrowser/gbrender variantrenderer.h genomebrowser/gbrender cytobandrenderer.h 3 0 true 
genomebrowser/gbrender view.h genomebrowser/gbrender config.h 3 1 true 
genomebrowser gbzoommanager.h genomebrowser gbplotview.h 3 1 true 
genomebrowser/gbrender dispatch.h genomebrowser/gbrender pileuprenderer.h 3 0 true 
genomebrowser/gbrender worker.h genomebrowser/gbrender featuregenerator.h 3 1 true 
genomebrowser/gbrender request.h genomebrowser/gbrender coveragerenderer.h 3 0 true 
genomebrowser/gbrender coveragerenderer.h genomebrowser/gbrender dispatch.h 3 0 true 
genomebrowser/gbrender request.h genomebrowser/gbrender pileuprenderer.h 3 0 true 
genomebrowser gbrootstate.h genomebrowser gbzoommanager.h 3 1 true 
genomebrowser gbmainwindow.h genomebrowser gbplotrenderer.h 3 0 true 
genomebrowser gbtextedit.h genomebrowser gbplot.h 3 1 true 
genomebrowser gbplotstate.h genomebrowser gbview.h 3 1 true 
genomebrowser gbplotstate.h genomebrowser gbinputhandler.h 3 1 true 
genomebrowser gbplotview.h genomebrowser gbplotselector.h 3 1 true 
genomebrowser/gbrender scene.h genomebrowser/gbrender rendererbase.h 3 0 true 
genomebrowser/gbrender transcript.h genomebrowser/gbrender coveragerenderer.h 3 1 true 
genomebrowser/gbrender view.h genomebrowser/gbrender chunk.h 3 1 true 
genomebrowser gbplotselector.h genomebrowser gbplot.h 3 1 true 
genomebrowser gbscale.h genomebrowser gbplot.h 3 0 true 
genomebrowser gbnodecontrolset.h genomebrowser gbplot.h 3 1 true 
genomebrowser gbscalestate.h genomebrowser gbplot.h 3 0 true 
genomebrowser gbnodecontrolset.h genomebrowser gbdatanodeiterator.h 3 1 true 
genomebrowser/gbrender generenderer.h genomebrowser/gbrender sequtil.h 3 0 true 
genomebrowser gbgrip.h genomebrowser gbplot.h 3 1 true 
genomebrowser gbplotselector.h genomebrowser gbplotgroup.h 3 1 true 
genomebrowser/gbrender seqrenderer.h genomebrowser/gbrender cache.h 3 3 true 
genomebrowser gbcommonvalueaccessor.h genomebrowser gbtextedit.h 3 1 true 
genomebrowser gbplotselector.h genomebrowser gbplotmover.h 3 1 true 
